開始年,開始月,開始日,終了年,終了月,終了日,行事名,主催,会場
2023,3,5,2023,3,5,第28回 愛知県太極拳競技大会,愛知県連盟,愛知県武道館
2023,3,10,2023,3,13,常任講師研修会議／講師研修会,日本連盟,東京TC
2023,3,19,2023,3,19,太極剣･推手講習会,有志,露橋SC
2023,3,19,2023,3,19,レベルアップ講習会,有志,露橋SC
2023,4,2,2023,4,2,太極剣･推手･武術太極拳基礎 講習会,有志,愛知県武道館(第5)
2023,4,2,2023,4,2,レベルアップ講習会,有志,愛知県武道館(第5)
2023,4,9,2023,4,9,ブロック 日本連盟講師研修会,東海･北陸ブロック,愛知県武道館(第5)
2023,4,15,2023,4,16,太極拳Ｂ級指導員認定,日本連盟,愛知県武道館
2023,4,22,2023,4,23,第31回ＪＯＣ武術太極拳大会,日本連盟,熊取ひまわりドーム
2023,4,23,2023,4,23,太極扇入門 講習会(午後),有志,愛知県武道館(第2)
2023,4,29,2023,4,30,太極拳Ｃ級指導員認定,日本連盟,愛知県武道館
2023,5,7,2023,5,7,太極拳普及指導員認定,愛知県連盟,露橋ＳＣ
2023,5,14,2023,5,14,太極剣･推手･武術太極拳基礎 講習会,有志,西枇杷島会館
2023,5,14,2023,5,14,レベルアップ講習会,有志,西枇杷島会館		
2023,5,14,2023,5,14,ジュニア選手強化練習会[１],愛知県連盟,セントラル岐阜道場
2023,5,20,2023,5,20,第１回 東海･北陸ブロック会議,東海･北陸ブロック,名古屋都市センター
2023,5,21,2023,5,21,太極拳２･３段一次検定,愛知県連盟,露橋ＳＣ
2023,5,27,2023,5,28,推手特別講習会,日本連盟,東京ＴＣ
2023,6,4,2023,6,4,太極剣･推手･武術太極拳基礎 講習会,有志,枇杷島ＳＣ
2023,6,4,2023,6,4,レベルアップ講習会,有志,枇杷島ＳＣ
2023,6,10,2023,6,11,５段位昇段セミナー東京①Ａ,日本連盟,東京ＴＣ
2023,6,13,2023,6,14,４段位昇段中央研修会,日本連盟,愛知県武道館
2023,6,17,2023,6,17,日本連盟 第12回 定時社員総会,	日本連盟,ＴＫＰ新橋カンファレンスセンター　　
2023	,	7	,	2	,	2023	,	7	,	2	,	太極拳選手強化練習会	,	愛知県連盟	,	露橋ＳＣ
2023	,	7	,	4	,	2023	,	7	,	5	,	５段位昇段セミナー東京①Ｂ	,	日本連盟	,	東京ＴＣ
2023	,	7	,	9	,	2023	,	7	,	9	,	ジュニア選手強化練習会[２]	,	愛知県連盟	,	セントラル岐阜道場
2023	,	7	,	14	,	2023	,	7	,	16	,	第40回 全日本武術太極拳選手権大会	,	日本連盟	,	東京体育館
2023	,	7	,	22	,	2023	,	7	,	23	,	５段位昇段セミナー大阪①Ａ	,	日本連盟	,	大阪ＴＣ
2023	,	8	,	4	,	2023	,	8	,	7	,	常任講師研修会議／講師研修会	,	日本連盟	,	東京ＴＣ
2023	,	8	,	13	,	2023	,	8	,	13	,	長拳技能検定《３～６級》	,	東海３県	,	日本ガイシＳＰ
2023	,	8	,	13	,	2023	,	8	,	13	,2023年度 前期太極拳級検定	,	愛知県連盟	,	露橋ＳＣ
2023	,	8	,	15	,	2023	,	8	,	16	,	５段位昇段セミナー大阪①Ｂ	,	日本連盟	,	大阪ＴＣ
2023	,	9	,	9	,	2023	,	9	,	10	,	３･４段受験対策講習会	,	日本連盟	,	愛知県武道館
2023	,	9	,	9	,	2023	,	9	,	9	,	ジュニア選手強化練習会[３]	,	愛知県連盟	,	セントラル岐阜道場
2023,	9	,	16	,	2023	,	9	,	17	,	５段位昇段セミナー東京②Ａ	,	日本連盟	,	東京ＴＣ
2023,	9	,	17	,	2023	,	9	,	17	,	2023年度 Ａ級指導員健康管理セミナー	,	日本連盟	,	名古屋国際会議場
2023,	9	,	18	,	2023	,	9	,	18	,	太極剣･推手･武術太極拳基礎 講習会,有志,愛知県武道館(第5)
2023,	9	,	18	,	2023	,	9	,	18	,	レベルアップ講習会,有志,愛知県武道館(第5)
2023,	9	,	23	,	2023	,	9	,	24	,	特別国民体育大会 かごしま国体	,	日本連盟	,	曾於市末吉体育館
2023,	9	,	23	,	2023	,	9	,	28	,	第１９回アジア競技大会	,	ＯＣＡ	,	中国・杭州
2023,	10	,	8	,	2023	,	10	,	8	,	東海北陸ブロック　講師研修会	,	ブロック	,	愛知県武道館
2023,	10	,	9	,	2023	,	10	,	9	,	太極剣・推手・武術太極拳基礎 講習会	,	有志	,	露橋ＳＣ
2023,	10	,	9	,	2023	,	10	,	9	,	レベルアップ講習会	,	有志	,	露橋ＳＣ
2023,	10	,	15	,	2023	,	10	,	15	,	李自力特別講習会＜楊式太極拳＞	,	愛知連盟	,	中村ＳＣ
2023,	10	,	22	,	2023	,	10	,	22	,	太極拳　段検定受験対策講習会	,	愛知連盟	,	愛知県武道館
2023,	10	,	29	,	2023	,	10	,	29	,	ねんりんピックえひめ２０２３	,	日本連盟	,	西条市総合体育館
2023,	11	,	5	,	2023	,	11	,	5	,	２０２３年愛知県武術太極拳大会	,	愛知連盟	,	愛知県武道館
2023,	11	,	12	,	2023	,	11	,	12	,	ジュニア選手強化練習会（４）	,	愛知連盟	,	セントラル岐阜道場
2023,	11	,	18	,	2023	,	11	,	19	,	４段一次事前講習会・１次２次審査会	,	日本連盟	,	愛知県武道館
2023,	11	,	23	,	2023	,	11	,	23	,	太極剣・推手・武術太極拳基礎 講習会	,	有志	,	日本ガイシＳＰ
2023,	11	,	23	,	2023	,	11	,	23	,	レベルアップ講習会	,	有志	,	日本ガイシＳＰ
2023,	11	,	25	,	2023	,	11	,	26	,	太極拳初段２段　事前講習会・検定	,	日本連盟	,	愛知県武道館
2023,	11	,	26	,	2023	,	11	,	26	,	第１７回東海北陸ジュニア武術太極拳大会	,	ブロック	,	静岡県武道館
2023,	12	,	3	,	2023	,	12	,	3	,	孔祥東特別講習会＜総合太極拳＞	,	愛知連盟	,	愛知県武道館
2023,	12	,	16	,	2023	,	12	,	17	,	太極拳３段　事前講習会・技能検定	,	日本連盟	,	愛知県武道館
2023,	12	,	23	,	2023	,	12	,	23	,	第２回東海北陸ブロック会議	,	ブロック	,	名古屋都市センター
2023,	12	,	24	,	2023	,	12	,	24	,	太極剣・推手・武術太極拳基礎 講習会	,	有志	,	中村ＳＣ
2023,	12	,	24	,	2023	,	12	,	24	,	レベルアップ講習会	,	有志	,	中村ＳＣ
2024,	1	,	8	,	2024	,	1	,	8	,	東海北陸ブロック　上級者特別講習会②	,	ブロック	,	中村ＳＣ
2024,	1	,	14	,	2024	,	1	,	14	,	ジュニア選手強化練習会（５）	,	愛知連盟	,	セントラル岐阜道場
2024,	1	,	21	,	2024	,	1	,	21	,	太極拳選手強化練習会（２）	,	愛知連盟	,	西枇杷島会館
2024,	2	,	3	,	2024	,	2	,	4	,	第２０期全国審判員研修会（東京）	,	日本連盟	,	東京ＴＣ
2024,	2	,	11	,	2024	,	2	,	11	,	ジュニア選手強化練習会（６）	,	愛知連盟	,	セントラル岐阜道場
2024,	2	,	18	,	2024	,	2	,	18	,	太極剣・推手・武術太極拳基礎 講習会	,	有志	,	日本ガイシＳＰ
2024,	2	,	18	,	2024	,	2	,	18	,	レベルアップ講習会	,	有志	,	日本ガイシＳＰ
2024,	2	,	24	,	2024	,	2	,	25	,	長拳初段　１・２級検定	,	日本連盟	,	枇杷島ＳＣ
2024,	2	,	24	,	2024	,	2	,	25	,	第２０回全国審判員研修会（大阪）	,	日本連盟	,	大阪ＴＣ
2024,	3	,	8	,	2024	,	3	,	11	,	日本連盟　常任講師会議／講師研修会（２）	,	日本連盟	,	東京ＴＣ
2024,	3	,	17	,	2024	,	3	,	17	,	第２９回愛知県太極拳競技大会	,	愛知連盟	,	愛知県武道館
2024,	3	,	24	,	2024	,	3	,	24	,	李自力特別講習会（種目未定）	,	愛知連盟	,	中村ＳＣ
2024,	3	,	31	,	2024	,	3	,	31	,	太極剣・推手・武術太極拳基礎 講習会	,	有志	,	中村ＳＣ
2024,	3	,	31	,	2024	,	3	,	31	,	レベルアップ講習会	,	有志	,	中村ＳＣ
